n,layer,first_blocking_gap,gap_threshold,ratio_decimal
51,1,22172,21845,1.014968
51,2,34637850,31988524,1.082827
51,3,459850891500,428597048949,1.072919
51,4,20891689328819250,18870510190034037,1.107107816293
51,5,2303807699477340078750,2226628053243742477956,1.034663
52,1,22172,21845,1.014968
52,2,34637850,31988524,1.082827
52,3,470455762392,428597048949,1.097662
52,4,26500727429154000,25467307873635162,1.040578
52,5,3397375259291095762680,3358089676487133175393,1.011703
53,1,23042,21845,1.054797
53,2,45654476,43052743,1.060432
53,3,737978943000,736340019964,1.002226
53,4,84872309090318750,82883567360966919,1.023994
53,5,26341214674665403012500,24671918500667380441272,1.067657
54,1,46084,43690,1.054796
54,2,118704744,111931989,1.060506
54,3,2917943700000,2911463348807,1.002226
54,4,91684203427867050,82883567360966919,1.106180710449
54,5,27626991957275465455470,27574492272300756906897,1.001904
55,1,44836,43690,1.026230
55,2,118982864,111931989,1.062992
55,3,2931673819074,2911463348807,1.006942
55,4,359127640933425000,350556503363400841,1.024450
55,5,144777909135068819543934,135975582125916386901983,1.064735
56,1,44836,43690,1.026230258640
56,2,118982864,111931989,1.062992492700
56,3,2931673819074,2911463348807,1.006941688026
56,4,351087558046875000,350556503363400841,1.001514890405
56,5,141225760829684334375000,140968534180836305723858,1.001824709680
56,6,94501104898860468934894518750,88372344218284142490219072866,1.069351568466
