n,y,tail_prime_count,theorem_hypothesis_2y_le_sqrt_n,maximizing_prime,B_squared,M,M_over_B,supplied_script_span_over_B,supplied_script_to_theorem_ratio
50,2,14,True,3,1.71755173119461006098413487956611214007929347724901E+2,1.20847351753492066053476976061477827511223961360502E+1,9.22108922743948211707342429536604799626559425329470E-1,1.84421784548789642341468485907320959925311885065894E+0,2.00000000000000000000000000000000000000000000000000E+0
50,3,13,True,5,1.18649418843707399073287206507239113808716960473215E+2,9.65662747460460224760455599935712583715360812561111E+0,8.86528435497037166541093963029354467632502528991794E-1,1.77305687099407433308218792605870893526500505798359E+0,2.00000000000000000000000000000000000000000000000000E+0
50,5,12,False,7,8.23853533279841098407648124373419452732226021408230E+1,7.78364059622125322042141097377271891854833891832744E+0,8.57546680585822651180182348668099073866672062072411E-1,1.71509336117164530236036469733619814773334412414482E+0,2.00000000000000000000000000000000000000000000000000E+0
50,7,11,False,11,5.71415779400076322103545564566497377843147593021963E+1,4.79579054559674108812388715593025859964341370787483E+0,6.34430557416977244089296424653228728275957150161244E-1,1.26886111483395448817859284930645745655191430032249E+0,2.00000000000000000000000000000000000000000000000000E+0
50,10,11,False,11,5.71415779400076322103545564566497377843147593021963E+1,4.79579054559674108812388715593025859964341370787483E+0,6.34430557416977244089296424653228728275957150161244E-1,1.26886111483395448817859284930645745655191430032249E+0,2.00000000000000000000000000000000000000000000000000E+0
50,20,7,False,23,2.62868554501468729781799298520201538785423776170822E+1,3.13549421592914969080675283181019611844238031484044E+0,6.11556639393278639365465614012285799904075650164845E-1,1.22311327878655727873093122802457159980815130032969E+0,2.00000000000000000000000000000000000000000000000000E+0
50,25,6,False,47,1.97326394647301041870795675039683137434756719955903E+1,1.92507380085502929341047533488608685444802525101011E+0,4.33365957688836514991173870221475950970369899714083E-1,8.66731915377673029982347740442951901940739799428166E-1,2.00000000000000000000000000000000000000000000000000E+0
100,2,24,True,3,7.29224068876034567484803077652541431799399823806575E+2,2.63666949280346325934858856861406169115397733877460E+1,9.76394213558687952168198259753266860576239750880887E-1,1.95278842711737590433639651950653372115247950176177E+0,2.00000000000000000000000000000000000000000000000000E+0
100,3,23,True,5,4.87834276713518171916047252882668249075707154480731E+2,1.93132549492092044952091119987142516743072162512222E+1,8.74418460174099453627797806914976827730489013711092E-1,1.74883692034819890725559561382995365546097802742218E+0,2.00000000000000000000000000000000000000000000000000E+0
100,5,22,True,7,3.53139176226545954766678360623050194515299537817559E+2,1.55672811924425064408428219475454378370966778366549E+1,8.28399485264045619035451657959384995105675730543812E-1,1.65679897052809123807090331591876999021135146108762E+0,2.00000000000000000000000000000000000000000000000000E+0
100,7,21,False,11,2.62261584829830635297201439092558247555231303598503E+2,1.07905287275926674482787461008430818491976808427184E+1,6.66308547741086691888037949911198388607878361534318E-1,1.33261709548217338377607589982239677721575672306864E+0,2.00000000000000000000000000000000000000000000000000E+0
100,10,21,False,11,2.62261584829830635297201439092558247555231303598503E+2,1.07905287275926674482787461008430818491976808427184E+1,6.66308547741086691888037949911198388607878361534318E-1,1.33261709548217338377607589982239677721575672306864E+0,2.00000000000000000000000000000000000000000000000000E+0
100,20,17,False,23,1.31586273445231588698719563632818668421968595992581E+2,6.27098843185829938161350566362039223688476062968087E+0,5.46676878235652134845227317563890389364604777544508E-1,1.09335375647130426969045463512778077872920955508902E+0,2.00000000000000000000000000000000000000000000000000E+0
100,25,16,False,31,1.11923625488981282325418476588663148016768479128105E+2,5.15098080672771936889374648681353581567490839572089E+0,4.86887973007881894946345888803895362026891226573980E-1,9.73775946015763789892691777607790724053782453147959E-1,2.00000000000000000000000000000000000000000000000000E+0
100,50,10,False,97,4.58101998088273339685541455780615055487775331082938E+1,2.28735548925169141105836081085198085690445745132939E+0,3.37950094870231603829348203714715809291966098429097E-1,6.75900189740463207658696407429431618583932196858194E-1,2.00000000000000000000000000000000000000000000000000E+0
200,2,45,True,3,2.94366250698585603874895650020792314142445075006040E+3,5.32826960004033200326693939907424966754032920544033E+1,9.82069408578261914263860644504400724682635001886421E-1,1.96413881715652382852772128900880144936527000377284E+0,2.00000000000000000000000000000000000000000000000000E+0
200,3,44,True,5,1.97780160109558731097947225634746806905127545692037E+3,3.94312288546354591777186036640415971683772331795787E+1,8.86643326863890860330167000713077743810453185551575E-1,1.77328665372778172066033400142615548762090637110315E+0,2.00000000000000000000000000000000000000000000000000E+0
200,5,43,True,7,1.43837362654920338364570164455774768708579687672603E+3,3.11345623848850128816856438950908756741933556733098E+1,8.20931480727840884980690390043760036281880940086846E-1,1.64186296145568176996138078008752007256376188017369E+0,2.00000000000000000000000000000000000000000000000000E+0
200,7,42,True,11,1.09505828127272328787212216322033366523665021412071E+3,2.27800050915845201685884639906687283483062151124055E+1,6.88391025597340578188613805589152469087626940815960E-1,1.37678205119468115637722761117830493817525388163192E+0,2.00000000000000000000000000000000000000000000000000E+0
200,10,42,False,11,1.09505828127272328787212216322033366523665021412071E+3,2.27800050915845201685884639906687283483062151124055E+1,6.88391025597340578188613805589152469087626940815960E-1,1.37678205119468115637722761117830493817525388163192E+0,2.00000000000000000000000000000000000000000000000000E+0
200,20,38,False,23,5.63625425053962823035508640974140822957713046532168E+2,1.25419768637165987632270113272407844737695212593617E+1,5.28287953198576222519254607798260162269498038292947E-1,1.05657590639715244503850921559652032453899607658589E+0,2.00000000000000000000000000000000000000000000000000E+0
200,25,37,False,31,4.98083265199795135124505017493622421607045990317249E+2,1.03019616134554387377874929736270716313498167914418E+1,4.61603350155782451619020590656121516495947916536255E-1,9.23206700311564903238041181312243032991895833072509E-1,2.00000000000000000000000000000000000000000000000000E+0
200,50,31,False,61,2.82008083336663275727994726663338415007207354956751E+2,6.16631079625996687312708365513842211947352261462189E+0,3.67193201667531991869132953354782029820436850299445E-1,7.34386403335063983738265906709564059640873700598890E-1,2.00000000000000000000000000000000000000000000000000E+0
